Title,Link,Source,Summary,Date
"Pavel Ježdík (Eurosignal): Z fixního LTE strach nemám, lidé se optiky nevzdají",https://www.lupa.cz/clanky/pavel-jezdik-eurosignal-z-fixniho-lte-strach-nemam-lide-se-optiky-nevzdaji/,"Lupa.cz, 19. května, 2020","Město Mníšek pod Brdy se nachází asi třicet kilometrů směrem na jihovýchod od Prahy. Vypravili jsme se do něj popovídat si s Pavlem Ježdíkem, místopředsedou družstva Eurosignal, které je v Mníšku a v celé Praze-Západ jedním z důležitých lokálních poskytovatelů internetu.

Na Mníšku se totiž ukazuje, jak to vypadá, když vedení města má „digitální“ vizi, dlouhodobě považuje výstavbu telekomunikační infrastruktury za jednu z priorit, a jak se to promítá do dostupnosti vysokorychlostního internetu pro místní obyvatele.",19.05.2020
O2 Slovakia zvolila Red Hat OpenStack Platform jako základ pro svůj cloud pro mobilní sítě,https://www.itbiz.cz/tiskove-zpravy/o2-slovakia-zvolila-red-hat-openstack-platform-jako-zaklad-pro-svuj-cloud-pro-mobilni-site,"IT BIZ, 06. května, 2020",Poskytovatel mobilních telekomunikačních služeb O2 Slovakia (dříve Telefónica O2 Slovakia) je odvážným vyzyvatelem na konkurenčním trhu. Po dekádě rychlého růstu se poskytovatel mobilních služeb poohlíží po příležitostech mimo tradiční hlasové a SMS služby. Díky vybudování škálovatelného a podporovaného cloudového výpočetního prostředí založeného na Red Hat OpenStack Platform a Red Hat Ceph Storage může nyní O2 Slovakia přinášet inovace na trh rychleji a pro více uživatelů.,06.05.2020
"Stát musí lépe komunikovat o bezpečnosti 5G, rozhodla sněmovna. Huawei se to líb",https://www.lupa.cz/clanky/nukib-musi-lepe-komunikovat-o-bezpecnosti-5g-rozhodla-snemovna-huawei-se-to-libi/,"Lupa.cz, 15. června, 2020","Český stát by měl ohledně zabezpečení nadcházejících mobilních 5G sítí lépe a otevřeněji komunikovat s odbornou veřejností, operátory nebo dodavateli technologií. Alespoň si to myslí podvýbor poslanecké sněmovny pro ICT, telekomunikace a digitální ekonomiku, který na základě schůze z 9. června vydal usnesení směřující k Národnímu úřadu pro kybernetickou a informační bezpečnost (NÚKIB), ministerstvu průmyslu a dalším úřadům.",15.06.2020
Potřetí a zase jinak. ČTÚ znovu mění podmínky aukce pro 5G sítě Více na: https://www.mobilmania.cz/clanky/potreti-a-zase-jinak-ctu-znovu-meni-podminky-aukce-pro-5g-site/sc-3-a-1348455/default.aspx,https://www.mobilmania.cz/clanky/potreti-a-zase-jinak-ctu-znovu-meni-podminky-aukce-pro-5g-site/sc-3-a-1348455/default.aspx,"MobilMania, 04. června, 2020","V těchto dnech jsme očekávali vypořádání připomínek z veřejné konzultace k podmínkám chystané aukce kmitočtů v pásmu 700 MHz a 3,5 GHz. Český telekomunikační úřad ale místo toho zveřejnil nové podmínky, již třetí v pořadí. Více na: https://www.mobilmania.cz/clanky/potreti-a-zase-jinak-ctu-znovu-meni-podminky-aukce-pro-5g-site/sc-3-a-1348455/default.aspx",04.06.2020
Komentář Michala Čupy: Aukční agónie 5G vstupuje do dalšího dějství,https://www.e15.cz/nazory/komentar-michala-cupy-aukcni-agonie-5g-vstupuje-do-dalsiho-dejstvi-1370487,"e15, 13. června, 2020","V těchto dnech jsme očekávali vypořádání připomínek z veřejné konzultace k podmínkám chystané aukce kmitočtů v pásmu 700 MHz a 3,5 GHz. Český telekomunikační úřad ale místo toho zveřejnil nové podmínky, již třetí v pořadí. Odchod od druhého pokusu je přitom natolik překotný, že regulátor hodil do koše připomínky z veřejné konzultace a nový pokus zahájil bez jejich vypořádání s odvoláním na to, že na trhu existují další potenciální subjekty se zájmem o aukci.",13.06.2020
Milan Zíka (Vodafone): Na podzim nabídneme v síti exUPC rychlosti nad 1 Gb/s,https://www.lupa.cz/clanky/milan-zika-vodafone-na-podzim-nabidneme-v-siti-exupc-rychlosti-nad-1-gb-s/,"Lupa.cz , 23. června, 2020","Operátor už dokončil upgrade sítě na standard DOCSIS 3.1, který umožní v kabelové síti nabízet rychlosti připojení nad 1 Gb/s. Pro 1,35 milionu českých domácností bude gigabitové připojení dostupné už na podzim. Zájemcům o vyšší rychlost bude operátor muset vyměnit modem za nový, který DOCSIS 3.1 podporuje. Vodafone kromě toho plánuje výměnu všech set-top boxů za nová zařízení – změna souvisí s plánovaným přechodem zákazníků exUPC na platformu Vodafone TV.",23.06.2020
O2 nabízí pojištění mobilů. Nemusí být nové ani koupené u operátora,https://www.idnes.cz/mobil/mobilni-operatori/pojisteni-mobilu-smartphonu-o2.A200601_160129_mobilni-operatori_jm,"idnes.cz, 1. června, 2020","Pojištění mobilů poskytuje operátor O2 už pět let ve spolupráci s pojišťovnou Maxima. Od června lze pojistit i přístroje zakoupené jinde než u operátora a navíc nemusí být ani úplně nové.

Podmínkou je stáří do půl roku (180 dnů) a původ zboží v oficiální distribuci, tedy zboží, které bylo určené pro trhy Evropské unie. Výše pojistky se odvíjí od hodnoty přístroje. Měsíční sazby pojistného startují na 49 korunách pro přístroje do hodnoty 4 000 korun, nejvyšší sazba platí pro zboží v hodnotě od 25 000 korun až do 45 000 Kč. Pak se měsíčně platí 299 Kč.",01.06.2020
ČTÚ chce minimalizovat zpoždění. 5G aukce má začít ještě během letních prázdnin,https://www.mobilmania.cz/clanky/ctu-chce-minimalizovat-zpozdeni-5g-aukce-ma-zacit-jeste-behem-letnich-prazdnin/sc-3-a-1348687/default.aspx,"MobilMania, 29. června, 2020","Český telekomunikační úřad (ČTÚ) chce po nezbytném vypořádání připomínek k již podruhé upravované, celkově třetí verzi podmínek zahájit proces aukce ještě během letních prázdnin. Samotná dražební fáze má proběhnout na podzim, oznámila Barbora Havelková Adámková ze sekretariátu předsedkyně Rady ČTÚ.

Veřejná konzultace k aktuálně navrženým třetím podmínkám aukce trvá do 7. července. Následně bude mít úřad 30 dní na to, aby veškeré připomínky vypořádal.",29.06.2020
Nulový tarif při streamování videa? Už nepůjde zvýhodnit jen jednu službu,https://www.lupa.cz/clanky/nulovy-tarif-pri-streamovani-videa-uz-nepujde-zvyhodnit-jen-jednu-sluzbu/,"Lupa.cz, 29. června, 2020","Síťová neutralita a obecný princip nediskriminace síťového provozu. Tzv. zero tarify nebo zero-ratingové nabídky. To jsou takové, které umožňují streamovat video či hudbu bez toho, aby uživatel čerpal data ze svého datového tarifu. Národní regulátoři (například v Německu) a následně i soudy shledaly tento postup jako rozporný s požadavky nařízení o síťové neutralitě, které stanoví společná pravidla pro zajištění rovného a nediskriminačního nakládání s provozem při poskytování služeb přístupu k internetu a zajištění souvisejících práv koncových uživatelů. ",02.07.2020
Hra o 5G kmitočty vrcholí. Může z ní vzejít ČEZký Telecom,https://www.lupa.cz/clanky/hra-o-5g-kmitocty-vrcholi-muze-z-ni-vzejit-cezky-telecom/,"Lupa.cz, 3. července, 2020"," ČEZ nemá s provozováním vlastní mobilní sítě žádné zkušenosti. Uznává to i šéf firmy Daniel Beneš, který v rozhovoru pro Seznam Zprávy řekl, že firma jedná o spojení s partnerem, který by přinesl potřebné know-how. ČEZ by tak kromě poskytnutí páteřní infrastruktury mohl působit zřejmě více méně jako investor, který zafinancuje miliardy korun potřebné pro výstavbu celoplošné sítě.",03.07.2020
